Denominazione del materiale;Denominazione chimica;Additivi;Densità [g/cm³];Modulo elastico trazione [MPa];Resistenza a trazione [MPa];Tensione di snervamento [MPa];Allungamento a snervamento [%];Allungamento a rottura [%];Modulo elastico flessione [MPa];Resistenza a flessione [MPa];Modulo elastico compressione [MPa];Resistenza a compressione 1%/2% [MPa];Resistenza agli urti Charpy [kJ/m²];Resistenza agli urti con intaglio Charpy [kJ/m²];Durezza a penetrazione di sfera [MPa];Temperatura di transizione vetrosa [°C];Temperatura di fusione [°C];Temperatura di esercizio a breve termine [°C];Temperatura di esercizio a lungo termine [°C];Dilatazione termica CLTE 23-60°C [10⁻⁶ K⁻¹];Dilatazione termica CLTE 23-100°C [10⁻⁶ K⁻¹];Calore specifico [J/(g×K)];Conducibilità termica [W/(m×K)];Resistività superficiale [Ω];Resistività di volume [Ω×cm];Rigidità dielettrica [kV/mm];Resistenza alla corrente di dispersione superficiale CTI [V];Assorbimento d'acqua 24h/96h 23°C [%];Resistenza all'acqua calda/soluzioni alcaline;Resistenza agli agenti atmosferici;Infiammabilità UL94
TECATOR 5013 brown;PAI;30% PTFE;1.4;3800;151;;;21;3000;;;;13.2;;240;260;n.a.;;270;;;;0.29*;10⁵;10⁷;;;0.06/0.13;;;VO⁰
TECATOR 5031 PV black;PAI;grafite PTFE;1.46;5900;135;;;7;6200;;;;87;5.6;228;280;n.a.;;270;;;;0.60*;10⁻²;10⁷;;;;;;VO⁰
TECAPEEK natural;PEEK;;1.31;4200;116;116;5;15;4200;175;3400;23/43;n.b.;4;253;150;341;300;260;5;5;1.1;0.27;10¹⁵;>10¹⁵;73;125;0.02/0.03;*;;VO⁰
TECAPEEK black;PEEK;;1.31;4100;100;100;3;3;4100;171;3300;22/41;75;;253;151;341;300;260;5;5;1.1;0.30;10¹⁵;>10¹⁵;;;0.02/0.03;*;;VO⁰
TECAPEEK bright red;PEEK;;1.36;4200;108;100;4;6;4500;177;3300;22/40;50;;244;151;341;300;260;5;5;1.1;0.27;10¹⁵;>10¹⁵;;;0.02/0.03;*;;VO⁰
TECAPEEK CF30 natural;PEEK;fibre di vetro;1.53;6400;105;105;3;3;6600;164;4800;29/52;33;;316;147;341;300;260;4;4;1.0;0.35;10¹⁵;10¹⁵-10¹⁶;36;;0.02/0.03;*;;VO⁰
TECAPEEK CF30 black;PEEK;fibre di carbonio;1.38;6800;122;122;7;7;6800;193;5000;25/47;62;;355;147;341;300;260;4;4;1.2;0.68;10¹⁵;10¹⁵-10¹⁶;;;0.02/0.03;*;;VO⁰
TECAPEEK PVX black;PEEK;carbonio, PTFE, grafite;1.44;5500;84;84;3;3;6000;142;4000;23/44;28;;250;146;341;300;260;3;3;1.1;0.82;10⁻¹;10⁻¹-10⁰;;;0.02/0.03;*;;VO⁰
TECAPEEK ES5 nano black;PEEK;CNT;1.36;4800;106;106;4;4;4700;178;3600;27/47;58;;253;147;341;300;260;5;5;1.1;0.46;10⁰-10¹;10⁰-10²;;;0.02/0.03;*;;VO⁰
TECAPEEK ID blue;PEEK;rilevabile al metal detector;1.49;4600;111;111;4;6;3700;166;4800;25/46;72;;260;150;341;300;260;5;5;1.1;0.27;10¹⁵;10¹⁶;;;0.02/0.03;*;;VO⁰
TECAPEEK TF10 blue;PEEK;PTFE;1.38;3400;95;95;5;8;3900;149;3000;22/39;48;;220;157;340;300;260;6;6;1.1;0.27;10¹⁵;10¹⁶;;;0.02/0.03;*;;VO⁰
TECAPEEK MT natural;PEEK;;1.31;4200;116;116;5;15;4200;175;3400;23/43;n.b.;;253;150;342;300;260;5;5;1.1;0.27;10¹⁵;10¹⁶;;;0.02/0.03;*;;VO⁰
TECAPEEK MT black;PEEK;;1.31;4200;114;114;5;13;4100;171;3400;23/44;n.b.;5;243;151;341;300;260;5;5;1.1;0.3;10¹⁵;10¹⁶;;;0.02/0.03;*;;VO⁰
TECAPEEK MT blue;PEEK;;1.34;4300;113;113;5;11;4300;171;3400;17/35;n.b.;7;248;151;341;300;260;5;5;1.1;0.28;10¹⁵;10¹⁶;;;0.02/0.03;*;;VO⁰
TECAPEEK MT green;PEEK;;1.32;4100;116;116;5;17;4200;172;3400;17/35;n.b.;4;250;151;341;300;260;5;5;1.1;0.28;10¹⁵;10¹⁶;;;0.02/0.03;*;;VO⁰
TECAPEEK MT yellow;PEEK;;1.38;4400;113;113;5;10;4300;177;3400;17/35;n.b.;5;257;151;341;300;260;5;5;1.1;0.28;10¹⁵;10¹⁶;;;0.02/0.03;*;;VO⁰
TECAPEEK MT bright red;PEEK;;1.36;4200;308;108;4;8;4500;177;3500;22/40;50;;244;151;341;300;260;5;5;1.1;0.27;10¹⁵;10¹⁶;;;0.02/0.03;*;;VO⁰
TECAPEEK MT ivory;PEEK;;1.42;4400;114;114;4;12;4400;177;3400;24/44;n.b.;;250;150;341;300;260;5;5;1.7;0.59;10¹⁵;10¹⁶;;;0.02/0.03;*;;VO⁰
TECAPEEK MT CF30 black;PEEK;fibre di carbonio;1.49;6000;115;115;4;5;6000;188;4500;23/44;58;;318;146;341;300;260;5;5;1.0;;10⁰-10⁵;10⁻¹-10⁵;;;0.02/0.03;*;;VO⁰
TECATEC PEEK MT CW50 black;PEEK;;1.49;53200;491;491;;;48900;813;4050;;n.b.;;257;143;343;300;260;5;5;1.0;;10⁰-10⁵;10⁻¹-10⁵;;;0.02/0.03;*;;VO⁰
TECATEC PEEK MT CW60 black;PEEK;;1.61;54300;585;585;;;50900;960;5100;;n.b.;;;165;380;300;260;5;5;;;10⁰-10⁵;10⁻¹-10⁵;;;0.02/0.03;*;;VO⁰
TECAPEEK MT CLASSIX white;PEEK;;1.4;4700;117;117;5;11;4400;177;3500;25/45;n.b.;5;263;150;341;300;260;5;5;1.0;0.30;10¹⁵;10¹⁶;;;0.02/0.03;;;VO⁰
TECAPEEK TS grey;PEEK;carica minerale;1.49;5700;110;110;4;4;5900;175;4300;17/34;n.b.;7;290;151;339;300;260;4;4;1.0;0.38;10¹⁵;10¹⁶;57;175;0.02/0.03;*;;VO⁰
TECAPEEK CMF white;PEEK;ceramica;1.65;5500;105;102;3;4;5500;170;4300;25/46;65;;286;151;339;300;260;4;4;1.0;0.38;10¹⁵;10¹⁶;;;0.02/0.03;*;;VO⁰
TECAPEEK CMF grey;PEEK;ceramica;1.65;5500;105;102;4;5;5500;170;4300;25/46;35;;286;151;339;300;260;4;4;1.0;0.38;10¹⁵;10¹⁶;62;200;0.02/0.03;*;;VO⁰
TECAPEEK RT black;PEEK;;1.31;4600;120;120;4;5;4600;192;3500;25/45;n.b.;1;282;160;375;300;260;5;5;1.0;;10¹⁵;10¹⁶;;;0.02/0.04;*;;VO⁰
TECAPEEK RT grey black;PEEK;;1.32;4600;134;120;4;13;4600;151;3500;24/42;n.b.;;275;165;384;300;260;6;5;1.0;0.25;10¹⁰;10¹⁶;;;0.02/0.03;*;(+);VO⁰
TECATRON natural;PPS;;1.36;4100;102;100;4;4;4000;151;3600;20/38;29;;248;97;281;260;230;4;5;0.9;0.35;10¹¹;10¹⁵;32;125;<0.01/0.01;;(-);VO⁰
TECATRON CF40 natural;PPS;fibre di vetro;1.63;6500;83;83;3;3;6600;145;4600;21/41;24;;333;93;280;260;230;4;5;0.9;0.33;10¹¹;10¹⁵;;;<0.01/0.01;;(-);VO⁰
TECATRON CF40 black;PPS;fibre di vetro;1.63;6500;83;83;3;3;6600;145;4600;21/41;24;;343;93;280;260;230;4;5;0.9;0.33;10¹¹;10¹⁵;;;<0.01/0.01;;(-);VO⁰
TECATRON PVX black;PPS;;1.5;4600;53;53;2;2;4800;91;3300;19/36;14;;238;94;281;260;230;5;5;0.9;0.58;10⁰-10⁶;10⁰-10⁶;;;<0.01/0.01;;(+);VO⁰
TECASON S natural;PSU;;1.24;2700;89;89;5;15;2600;122;2300;15/28;175;;167;188;n.a.;180;160;6;6;1.2;0.21;10¹⁵;10¹⁶;57;;0.06/0.1;;;VO⁰
TECASON P white;PPSU;;1.31;2300;81;81;7;50;2300;107;2000;18/30;n.b.;13;143;218;n.a.;190;170;6;6;1.1;0.25;10¹⁵;10¹⁵;76;125;0.1/0.2;*;;VO⁰
TECASON P MT;PPSU;;1.31;2300;81;81;7;50;2300;107;2000;18/30;n.b.;13;143;218;n.a.;190;170;6;6;1.1;0.25;10¹⁵;10¹⁵;;;0.1/0.2;*;;VO⁰
TECAPEI natural;PEI;;1.28;3200;127;127;7;35;3300;164;2800;23/41;113;;225;216;n.a.;200;170;5;5;1.2;0.21;10¹⁵;10¹⁵;;;0.05/0.1;*;;VO⁰
TECAFLON PVDF natural;PVDF;;1.78;2200;62;62;7;17;2100;77;1900;16/28;150;;129;-40;171;200;150;16;18;1.3;0.25;10¹⁵;10¹⁵;;600;<0.01/<0.01;*;;HB
TECANAT natural;PC;;1.19;2400;69;69;6;80;2300;97;1900;16/29;n.b.;14;128;149;n.a.;140;120;8;8;1.3;0.25;10¹⁵;10¹⁵;;;0.03/0.06;*;(-);HB*
TECANAT GF30 natural;PC;fibre di vetro;1.42;4400;85;87;5;6;4500;138;3000;21/39;71;;190;147;n.a.;140;120;5;5;1.1;0.32;10¹⁵;10¹⁵;;;0.03/0.05;*;(-);HB*
TECAPET white;PET;;1.36;3100;79;73;4;10;3200;121;2700;19/35;81;4;175;81;244;170;110;8;10;1.1;;10¹⁵;10¹⁵;;;0.02/0.03;;(-);HB*
TECAPET black;PET;;1.39;3400;91;91;4;15;3400;134;2700;21/38;27;;195;81;249;170;110;8;10;1.1;;10¹⁵;10¹⁵;;;0.02/0.03;;(-);HB*
TECAPET TF grey;PET;lubrificante solido;1.43;3200;78;78;4;6;3300;119;2700;21/38;42;;183;82;249;170;110;8;10;1.1;;10¹⁵;10¹⁵;;;0.02/0.03;;(+);HB*
TECADUR PET natural;PET;;1.39;3300;91;91;4;14;3400;134;2800;21/38;150;;194;81;244;170;110;8;10;;;10¹⁵;10¹⁵;;;0.02/0.03;;;HB
TECADUR PBT GF30 natural;PBT;fibre di vetro;1.46;3400;46;46;5;6;3400;78;2800;20/38;37;;190;45;224;200;110;8;10;1.2;0.33;10¹³;10¹⁴;31;600;0.02/0.04;(+);(+);HB*
TECAMID 6 natural;PA 6;;1.14;3300;79;78;4;130;2900;100;2700;24/41;n.b.;7;155;51;221;160;100;12;13;1.6;0.37;10¹³;10¹³;30;600;0.3/0.6;(+);(+);HB*
TECAMID 6 MD black;PA 6;MoS₂;1.14;3300;84;82;5;37;3100;110;2900;17/32;n.b.;5;155;51;220;160;100;8;8;1.6;0.37;10¹³;10¹³;30;600;0.3/0.6;(+);(+);HB*
TECAMID 6 GF25 black;PA 6;fibre di vetro;1.33;5100;96;96;9;11;4900;143;3900;21/42;78;;230;49;217;180;100;7;8;1.4;0.40;10¹³;10¹³;32;475;0.2/0.3;(+);(+);HB*
TECAMID 6 GF30 black;PA 6;fibre di vetro;1.36;5700;98;98;4;5;5200;140;4200;21/42;60;;232;45;218;180;100;6;6;1.3;0.41;10¹³;10¹³;32;;0.2/0.3;(+);(+);HB*
TECAMID 6 ID blue;PA 6;rilevabile al metal detector;1.24;3600;80;80;4;21;3100;n.b.;2700;;n.b.;;;45;220;160;100;6;6;1.3;0.36;10¹³;>10¹³;35;600;0.3/0.6;(+);(+);HB*
TECAMID 66 natural;PA 66;;1.15;3500;85;84;7;70;3100;114;2700;20/35;n.b.;n.b.;175;47;258;170;100;11;12;1.5;0.36;10¹³;10¹³;35;600;0.2/0.4;(+);(+);HB*
TECAMID 66 MO black;PA 66;MoS₂;1.15;3200;84;83;10;40;3100;114;2700;20/38;n.b.;;168;52;253;170;100;10;12;1.5;0.36;10¹³;10¹³;35;600;0.2/0.4;(+);(+);HB*
TECAMID 66 GF30 black;PA 66;fibre di vetro;1.34;5500;91;91;8;14;4700;135;4100;25/46;n.b.;5;216;48;254;170;110;5;10;1.2;0.39;10¹³;10¹³;35;475;0.1/0.2;(+);(+);HB*
TECAMID 66 GF50 black;PA 66;fibre di vetro;1.61;8700;115;115;2;2;9000;200;6200;28/56;97;;;78;256;200;130;4;5;1.2;;10¹³;10¹³;;;0.1/0.2;(+);(+);HB*
TECAMID 66 CF20 black;PA 66;fibre di carbonio;1.23;5100;104;104;12;13;4300;135;3800;16/33;116;;200;48;251;170;100;9;10;1.0;0.72;10⁻¹-10¹⁰;10⁻¹-10¹⁰;;;0.1/0.3;(+);;HB*
TECAMID 66 Hi brown;PA 66;;1.15;3400;89;72;7;25;3300;109;2900;14/29;n.b.;5;191;57;263;180;115;12;12;1.5;0.36;10¹³;10¹³;;;0.2/0.5;(+);;HB*
TECAMID 66 LA natural;PA 66;;1.11;3100;76;76;11;14;2800;102;2400;20/35;37;;145;54;261;120;90;11;12;1.6;0.36;10¹³;10¹³;;;0.2/0.4;(+);;HB*
TECAMID 46 red brown;PA 46;stabilizzato al calore;1.19;3300;106;106;21;32;3300;132;2800;20/35;n.b.;9;187;72;299;130;130;13;13;1.8;0.37;10¹³;10¹³;21;;0.4/0.7;(+);;V2*
TECAMID 12 natural;PA 12;;1.02;1800;53;53;9;200;1700;68;1600;13/24;n.b.;;105;37;180;150;110;15;16;3.8;0.30;10¹²;10¹⁰;;;0.04/0.07;*;;HB*
TECAST T natural;PA 6 C;;1.15;3500;83;80;4;55;3200;109;2800;19/36;n.b.;7;170;40;215;170;100;12;11;1.6;0.38;10¹²;10¹³;;;0.2/0.4;(+);(+);HB*
TECAST T MD black;PA 6 C;MoS₂;1.15;3200;82;80;4;55;3000;102;2800;22/38;n.b.;4;170;43;217;170;100;11;11;1.6;0.33;10¹²;10¹³;;;0.2/0.5;(+);;HB*
TECAST L natural;PA 6 C;olio;1.13;2900;69;66;4;50;2900;95;2700;19/35;n.b.;5;170;48;218;170;100;13;13;1.6;0.37;10¹²;10¹³;;;0.2/0.4;(+);;HB*
TECAST L black;PA 6 C;olio;1.14;3100;70;68;4;50;2900;95;2700;21/37;n.b.;5;150;42;216;170;100;13;13;1.7;0.37;10¹²;10¹³;;;0.2/0.4;(+);;HB*
TECAST L yellow;PA 6 C;olio;1.14;3100;70;68;4;50;2900;95;2700;21/37;n.b.;6;150;42;216;170;100;13;13;1.7;0.37;10¹²;10¹³;;;0.2/0.4;(+);;HB*
TECAGLIDE green;PA 6 C;lubrificante solido;1.13;3200;76;76;14;18;3100;103;2500;18/34;n.b.;4;159;45;218;130;100;14;12;1.7;0.38;10¹⁴;10¹⁴;49;600;0.2/0.3;(+);;HB*
TECARIM 1500 yellow;PA 6 C;elastomero;1.11;2200;53;53;13;58;2200;n.b.;2100;14/26;n.b.;16;95;53;216;130;95;13;13;1.4;0.32;10¹⁴;10¹⁴;49;600;0.6/1.2;(+);;HB*
TECAFORM AH natural;POM-C;;1.41;2800;67;67;9;32;2600;91;2300;20/35;n.b.;8;165;-60;166;140;100;13;14;1.4;0.35;10¹⁴;10¹³;49;600;0.05/0.1;(+);;HB*
TECAFORM AH black;POM-C;;1.41;2800;67;67;9;32;2600;91;2300;20/35;150;8;165;-60;166;140;100;13;14;1.4;0.39;10¹⁴;10¹³;38;600;0.05/0.1;(+);;HB*
TECAFORM AH GF25 natural;POM-C;fibre di vetro;1.59;4200;51;51;9;12;4100;88;3600;23/39;36;9;180;-60;170;140;100;8;8;1.2;0.47;10¹⁴;10¹³;;600;0.07/0.2;(+);;HB*
TECAFORM AH ELS black;POM-C;carbone conduttivo;1.41;1800;42;42;11;11;1500;56;1500;16/25;74;9;96;-60;168;140;100;13;14;1.6;0.46;10⁴;10⁴-10¹⁰;5;600;0.05/0.2;(+);;HB*
TECAFORM AH SD natural;POM-C;agente antistatico;1.35;1300;39;39;23;23;1200;46;1100;12/19;n.b.;;74;-60;165;140;100;16;17;1.6;0.30;10⁸-10¹²;10⁸-10¹⁰;>10¹⁴;600;0.05/0.2;(+);;HB*
TECAFORM AH ID grey;POM-C;rilevabile al metal detector;1.49;3200;68;68;8;10;3100;100;2400;17/31;59;11;174;-60;169;140;100;13;14;1.3;0.39;10¹⁵;10¹⁵;;;0.9/1.8;(+);;HB*
TECAFORM AH LA blue;POM-C;agente solido;1.36;2100;48;48;9;9;2000;70;1800;16/27;27;11;120;-60;166;140;100;13;13;1.3;0.39;10¹⁵;10¹⁵;;;0.05/0.1;(+);;HB*
TECAFORM AH AA natural;POM-C;agente anti-microbico;1.41;2900;67;69;7;18;2800;93;2200;18/31;102;;163;-60;166;140;100;13;14;1.4;0.39;10¹⁵;10¹⁵;;;0.05/0.1;(+);;HB*
TECAFORM AH MT;POM-C;;1.41;2800;69;70;15;30;2800;94;2200;18/32;n.b.;9;158;-60;169;140;100;13;14;1.4;0.39;>10¹⁵;10¹⁵;;;0.05/0.1;(+);;HB*
TECAFORM AD natural;POM-H;;1.43;3400;79;79;15;45;3600;106;2500;19/33;n.b.;15;185;-60;182;150;110;12;13;1.4;0.39;10¹⁵;10¹⁵;38;600;0.05/0.1;(+);;HB*
TECAFORM AD black;POM-H;;1.43;3600;80;80;37;43;3600;106;2800;22/38;n.b.;14;185;-60;182;150;110;11;11;1.3;0.43;10¹⁵;10¹⁵;;;0.05/0.1;(+);;HB*
TECAFORM AD AF natural;POM-H;PTFE;1.49;3000;53;53;32;8;3000;85;1600;19/33;n.b.;25;166;-60;179;150;110;12;13;1.3;0.46;10¹⁵;10¹⁵;;;0.05/0.1;(+);(-);HB*
TECAPRO MT white;PP;stabilizzato al calore;0.93;2000;34;34;5;67;1800;54;1400;16/26;140;;100;-10;165;140;100;13;14;1.4;0.21;10¹⁵;10¹⁵;;;0.01/0.02;(-);(-);HB*
TECAFINE PMP grey;PMP;;0.83;1000;26;26;6;67;800;31;600;11/19;17;;58;-10;n.a.;170;120;8;8;1.3;0.21;10¹³;10¹³;;;<0.01/<0.01;(-);(-);HB*
TECANYL 731 natural;PPE;;1.1;2400;57;57;15;22;2500;85;2100;18/33;69;;146;145;n.a.;110;85;4;4;1.3;0.21;10¹⁶;10¹⁵;;;0.02/0.04;(-);;HB*
TECANYL GF30 natural;PPE;fibre di vetro;1.3;4100;73;73;15;5;3900;116;3300;23/41;37;;205;150;n.a.;110;85;4;4;1.2;0.28;10¹⁶;10¹⁵;;;0.01/0.02;(-);;HB*
TECANYL MT;PPE;;1.04-1.10;2400;65;65;4;8;2400;95;2100;17/30;70;;140;174;n.a.;110;95;4;4;2.3;0.21;10¹⁶;10¹⁵;;;0.02/0.04;(-);;HB*
TECARAN ABS grey;ABS;;1.04;1700;32;32;4;49;1600;49;1400;15/26;n.b.;34;74;104;n.a.;100;75;8;8;1.3;0.21;10¹⁵;10¹⁵;;;0.07/0.2;;;HB*
